Japanese_Name,English_Name,PLC_Depends,PLC_Memory_Address,PLC_Data_Type,Normal_Data_Type,Sql_Data_Type,comment
日付,"INSERT_DATE											",NO,,,,,
勤務日付軸,,NO,,,,,
昼夜勤,"AB_SECTION_DAY											",NO,,,,,
ユニットコード,,NO,,,,,
工程順番,,NO,,,,,
機番,"Machine_No											",NO,,,,,
時間帯,,NO,,,,,
作業者,,YES,"[DM31600,DM31601]			",,,,
運転モード,V_work_mode,YES,"[502.12,502.13,502.14]",,,,"[502.12-自動,502.13-手動,502.14払出]"
異常種類,"Error_Mode											",YES,,,,"numeric(10,0)","[1:起動時異常 2:運転中異常]											"
異常№,ErrorCode,YES,,,,"numeric(10,0)",
異常内容,,NO,,,,,
ON/OFF,,YES,,,,,
起動時異常停止時間(s),WarningTime,NO,,,LINT,"numeric(10,0)",
運転中異常停止時間(s),AlarmTime,NO,,,LINT,"numeric(10,0)",
ﾜｰｸ№ST1,Work_No_ST1,YES,"DM31651							",WORD,UDINT,"numeric(10,0)",
ﾜｰｸ№ST2,"Work_No_ST2											",YES,"DM31652							",WORD,UDINT,"numeric(10,0)",
ﾜｰｸ№ST3,"Work_No_ST3											",YES,"DM31653							",WORD,UDINT,"numeric(10,0)",
ﾜｰｸ№ST4,"Work_No_ST4											",YES,"DM31654							",WORD,UDINT,"numeric(10,0)",
ﾜｰｸ№ST5,"Work_No_ST5											",YES,"DM31655							",WORD,UDINT,"numeric(10,0)",
ﾜｰｸ№ST6,"Work_No_ST6											",YES,"DM31656							",WORD,UDINT,"numeric(10,0)",
ﾜｰｸ№ST7,"Work_No_ST7											",YES,"DM31657							",WORD,UDINT,"numeric(10,0)",
ﾜｰｸ№ST8,"Work_No_ST8											",YES,"DM31658							",WORD,UDINT,"numeric(10,0)",
ﾜｰｸ№ST9,"Work_No_ST9											",YES,"DM31659							",WORD,UDINT,"numeric(10,0)",
ﾜｰｸ№ST10,"Work_No_ST10											",YES,"DM31660							",WORD,UDINT,"numeric(10,0)",
ﾜｰｸ№ST11,"Work_No_ST11											",YES,"DM31661							",WORD,UDINT,"numeric(10,0)",
ﾜｰｸ№ST12,"Work_No_ST12											",YES,"DM31662							",WORD,UDINT,"numeric(10,0)",
ﾜｰｸ№ST13,"Work_No_ST13											",YES,"DM31663							",WORD,UDINT,"numeric(10,0)",
ﾜｰｸ№ST14,"Work_No_ST14											",YES,"DM31664							",WORD,UDINT,"numeric(10,0)",
ﾜｰｸ№ST15,"Work_No_ST15											",YES,"DM31665							",WORD,UDINT,"numeric(10,0)",
ｼﾘｱﾙ№ST1,"SERIAL_No_ST1											",YES,DM31701,WORD,STRING[21],varchar(20),
ｼﾘｱﾙ№ST2,"SERIAL_No_ST2											",YES,DM31702,WORD,STRING[21],varchar(20),
ｼﾘｱﾙ№ST3,"SERIAL_No_ST3											",YES,DM31703,WORD,STRING[21],varchar(20),
ｼﾘｱﾙ№ST4,"SERIAL_No_ST4											",YES,DM31704,WORD,STRING[21],varchar(20),
ｼﾘｱﾙ№ST5,"SERIAL_No_ST5											",YES,DM31705,WORD,STRING[21],varchar(20),
ｼﾘｱﾙ№ST6,"SERIAL_No_ST6											",YES,DM31706,WORD,STRING[21],varchar(20),
ｼﾘｱﾙ№ST7,"SERIAL_No_ST7											",YES,DM31707,WORD,STRING[21],varchar(20),
ｼﾘｱﾙ№ST8,"SERIAL_No_ST8											",YES,DM31708,WORD,STRING[21],varchar(20),
ｼﾘｱﾙ№ST9,"SERIAL_No_ST9											",YES,DM31709,WORD,STRING[21],varchar(20),
ｼﾘｱﾙ№ST10,"SERIAL_No_ST10											",YES,DM31710,WORD,STRING[21],varchar(20),
ｼﾘｱﾙ№ST11,"SERIAL_No_ST11											",YES,DM31711,WORD,STRING[21],varchar(20),
ｼﾘｱﾙ№ST12,"SERIAL_No_ST12											",YES,DM31712,WORD,STRING[21],varchar(20),
ｼﾘｱﾙ№ST13,"SERIAL_No_ST13											",YES,DM31713,WORD,STRING[21],varchar(20),
ｼﾘｱﾙ№ST14,"SERIAL_No_ST14											",YES,DM31714,WORD,STRING[21],varchar(20),
ｼﾘｱﾙ№ST15,"SERIAL_No_ST15											",YES,DM31715,WORD,STRING[21],varchar(20),
ｲﾝﾃﾞｯｸｽ№ST1,"Index_No_ST1											",YES,,WORD,USINT,tinyint,
ｲﾝﾃﾞｯｸｽ№ST2,"Index_No_ST2											",YES,,WORD,USINT,tinyint,
ｲﾝﾃﾞｯｸｽ№ST3,"Index_No_ST3											",YES,,WORD,USINT,tinyint,
ｲﾝﾃﾞｯｸｽ№ST4,"Index_No_ST4											",YES,,WORD,USINT,tinyint,
ｲﾝﾃﾞｯｸｽ№ST5,"Index_No_ST5											",YES,,WORD,USINT,tinyint,
ｲﾝﾃﾞｯｸｽ№ST6,"Index_No_ST6											",YES,,WORD,USINT,tinyint,
ｲﾝﾃﾞｯｸｽ№ST7,"Index_No_ST7											",YES,,WORD,USINT,tinyint,
ｲﾝﾃﾞｯｸｽ№ST8,"Index_No_ST8											",YES,,WORD,USINT,tinyint,
ｲﾝﾃﾞｯｸｽ№ST9,"Index_No_ST9											",YES,,WORD,USINT,tinyint,
ｲﾝﾃﾞｯｸｽ№ST10,"Index_No_ST10											",YES,,WORD,USINT,tinyint,
ｲﾝﾃﾞｯｸｽ№ST11,"Index_No_ST11											",YES,,WORD,USINT,tinyint,
ｲﾝﾃﾞｯｸｽ№ST12,"Index_No_ST12											",YES,,WORD,USINT,tinyint,
ｲﾝﾃﾞｯｸｽ№ST13,"Index_No_ST13											",YES,,WORD,USINT,tinyint,
ｲﾝﾃﾞｯｸｽ№ST14,"Index_No_ST14											",YES,,WORD,USINT,tinyint,
ｲﾝﾃﾞｯｸｽ№ST15,"Index_No_ST15											",YES,,WORD,USINT,tinyint,
